Staffel;Mannschaft;Breitengrad;Laengengrad;Adresse
KL-05;Hamburg Hurricanes 1.;53.58952569043909;10.061352968558197;Neue Welt 2/Unten, Jahnring (Ecke Hindenburgstr.) 24, 22297 HAMBURG
KL-05;UH-Adler 2.;53.5775738;10.0268952;Beethovenstraße, Beethovenstr. 51, 22083 Hamburg
KL-05;Bramfeld 3.;53.6146063;10.0564247;Gropiusring 2, Gropiusring 43, 22309 Hamburg
KL-06;Hasloh 1.;53.691721;9.9174578;Gerd Buhr-Sportplatz 1, Am Sportplatz 2, 25474 Hasloh
KL-06;Ellerau 1.;53.7562066;9.915151;Ellerau 2, Dorfstr. 51, 25479 Ellerau
KL-06;Niendorf 4.;53.6228675;9.9376709;Bondenwald, Bondenwald, 22453 Hamburg
KL-06;Hoisbüttel 1.;53.678431;10.1630323;Kay Weber Platz, Bullenredder 9, 22949 Ammersbek
KL-06;Bergstedt 1.;53.6713212;10.1339477;Bergstedt, Teekoppel 9, 22395 Hamburg
KL-06;St. Pauli IV;53.554357;9.9709719;Feldstraße 1, Heiligengeistfeld, 20359 Hamburg
KL-06;1. FC Quickborn 1.;53.7242459;9.9360964;Holstenstadion 2, Harksheider Weg 258, 25451 Quickborn
KL-06;Lemsahl 1.;53.6826503;10.0911801;Eichelhäherkamp, Eichelhäherkamp 3, 22397 Hamburg
KL-06;Glashütte 1.;53.6827893;10.0411073;Glashütte 2, Poppenbütteler Str. 272, 22851 Norderstedt
KL-06;Egenbüttel 2.;53.6395517;9.8760304;Am Moorweg 1 (Rasen), Moorweg 68 A, 25462 Rellingen
KL-06;Germania 2.;53.6342945;9.9178923;Schnelsen 1, Riekbornweg 5, 22457 Hamburg
KL-06;Rugenbergen 2.;53.6614224;9.8999507;Sportzentrum Bönningstedt 2, Ellerbeker Str. 29-31, 25474 Bönningstedt
KL-06;Harksheide 3.;53.7014094;10.0089998;collatz+schwartz Sportpark, Am Exerzierplatz 14-16, 22844 Norderstedt
KL-06;West-Eimsbüttel 1.;53.6002278;9.9323094;Vogt-Kölln-Straße Platz 2, Vogt-Kölln-Str. 50, 22527 Hamburg
KL-06;SV Eidelstedt 1.;53.6037771;9.9003527;Furtweg 1, Furtweg 51, 22523 Hamburg
KL-07;Hansa 11 1.;53.554357;9.9709719;Feldstraße 1, Heiligengeistfeld, 20359 Hamburg
KL-07;St. Pauli V;53.554357;9.9709719;Feldstraße 1, Heiligengeistfeld, 20359 Hamburg
KL-07;GW Eimsbüttel 2.;53.5842503;9.9514846;Tiefenstaaken, Julius-Vosseler-Str. 195, 22527 Hamburg
KL-07;BSV 19 1.;53.5592059;9.9003912;Baurstraße Platz 1, Baurstr. 9, 22605 Hamburg
KL-07;Sternschanze 2.;53.5644706;9.9662201;Sternschanze, Sternschanze 9, 20357 Hamburg
KL-07;Victoria 3.;53.5935479;9.96665;Lokstedter Steindamm 52 Pl. 1, Lokstedter Steindamm 52, 22529 Hamburg
KL-07;Alsterbrüder 2.;53.5728026;9.9723648;Walter-Wächter-Platz, Gustav-Falke-Str. 19, 20144 Hamburg
KL-07;Egenbüttel 3.;53.6395517;9.8760304;Am Moorweg 1 (Rasen), Moorweg 68 A, 25462 Rellingen
KL-07;Eimsbüttel 3.;53.5735067;9.9679601;Sportplatz Bundesstr. 1, Bundesstr. 96, 20144 Hamburg
KL-07;Hammonia 2.;53.5644706;9.9662201;Sternschanze, Sternschanze 9, 20357 Hamburg
KL-07;Blau-Weiss Ellas 1.;53.5657996;9.9420583;Jahnplatz 3, Memellandallee, 22769 Hamburg
KL-07;HEBC 3.;53.5730998;9.9519384;Reinmüller-Platz 1, Tornquiststr. 79, 20259 Hamburg
KL-07;HafenCity 1.;53.5520761;10.0276471;Kesslau-Platz, Anckelmannsplatz 2 F, 20537 Hamburg
KL-07;Altona 93 3.;53.5592059;9.9003912;Baurstraße Platz 1, Baurstr. 9, 22605 Hamburg
KL-08;Teutonia 05 3.;53.5522746;9.9190605;Kreuzkirche, Holstentwiete 47, 22763 Hamburg
KL-08;Nienstedten 2.;53.5524139;9.8597928;Quellental, Quellental 27, 22609 Hamburg
KL-08;Hammonia 3.;53.5644706;9.9662201;Sternschanze, Sternschanze 9, 20357 Hamburg
KL-08;Lohkamp 1.;53.6037771;9.9003527;Furtweg 1, Furtweg 51, 22523 Hamburg
KL-08;Nikola Tesla 2.;53.5592059;9.9003912;Baurstraße Platz 4, Baurstr. 9, 22605 Hamburg
KL-08;Eimsbüttel 4.;53.5735067;9.9679601;Sportplatz Bundesstr. 1, Bundesstr. 96, 20144 Hamburg
KL-08;Blankenese 2.;53.5674321;9.8234211;Dockenhuden 3, Simrockstr. 62 A, 22589 Hamburg
KL-08;Sternschanze 3.;53.5644706;9.9662201;Sternschanze, Sternschanze 9, 20357 Hamburg
KL-08;Alsterbrüder 3.;53.5728026;9.9723648;Walter-Wächter-Platz, Gustav-Falke-Str. 19, 20144 Hamburg
KL-08;Groß Flottbek 1.;53.572185;9.8819507;Wilhelmshöh 1, Notkestr. 89, 22607 Hamburg
KL-08;Altenwerder 2.;53.4711365;9.8844575;Jägerhof 1 a (Nord), Talweg 1, 21149 Hamburg
KL-08;Lurup 1.;53.5886012;9.8825306;Vorhornweg Platz 1, Vorhornweg 1, 22547 Hamburg
KL-08;Hansa 11 2.;53.554357;9.9709719;Feldstraße 1, Heiligengeistfeld, 20359 Hamburg
KL-08;St. Pauli VI;53.554357;9.9709719;Feldstraße 1, Heiligengeistfeld, 20359 Hamburg
KL-08;Union Tornesch 4.;53.7028931;9.7340027;Großer Moorweg Platz 3, Großer Moorweg 30, 25436 Tornesch
KL-08;Victoria 4.;53.5935479;9.96665;Lokstedter Steindamm 52 Pl. 1, Lokstedter Steindamm 52, 22529 Hamburg
