Staffel;Mannschaft;Breitengrad;Laengengrad;Adresse
KK-04;Vorwärts Ost 1.;53.5122773;10.0149853;Rahmwerder Strasse, Rahmwerder Str. 11, 21109 Hamburg
KK-04;SV Wilhelmsburg 3.;53.4868669;10.0253387;Karl-Arnold-Ring 2, Karl-Arnold-Ring 15, 21109 Hamburg
KK-05;ETSV Hamburg 2.;53.5005274;10.1339848;Mittl. Landweg 1, Mittlerer Landweg 40, 21033 Hamburg
KK-05;SC Europa 1.;53.5277548;10.1558479;Rahewinkel, Beim Saaren 1, 22115 Hamburg
KK-05;SC V. M. 4.;53.4011135;10.1755276;Zollenspieker, Auf dem Sülzbrack 2, 21037 Hamburg
KK-05;Billstedt-Horn 3.;53.5398147;10.1055898;Billstedt 3, Möllner Landstr. 197, 22117 Hamburg
KK-05;MSV Hamburg 1.;53.533191;10.1490372;Kandinskyallee 2, Kandinskyallee 29, 22115 Hamburg
KK-05;SC Hamm 1.;53.546326;10.0644385;Ernst-Fischer-Platz 2, Neue Süderstraße, 20537 Hamburg
KK-05;Oststeinbek 2.;53.5485174;10.1665968;Oststeinbek 1 (Kunstrasen), Meessen 32, 22113 Oststeinbek
KK-05;ASV Bergedorf 85 3.;53.4959511;10.1899056;Sander Tannen 3, Krusestr. 5, 21033 Hamburg
KK-05;Glinde 3.;53.5490016;10.2184354;Bernd Schaffernicht Platz 2, Am Sportplatz 98 A, 21509 Glinde
KK-05;Polonia 4.;53.5686451;10.0328479;Finkenau, Finkenau 38, 22081 Hamburg
KK-05;FC Preußen Hamburg 1.;53.5499148;10.0875313;Von Elm Weg, Von-Elm-Weg 16, 22111 Hamburg
KK-05;Hamm United 3.;53.5571846;10.0711906;Snitgerreihe, Snitgerreihe, 22111 Hamburg
KK-05;Aumühle 4.;53.5320209;10.3409319;Fritz-Bortz-Sportplatz, Sachsenwaldstr., 21521 Aumühle
KK-05;Lorbeer 2.;53.5350323;10.0444922;Marckmannstraße, Marckmannstr. 125, 20539 Hamburg
KK-05;SVNA 3.;53.4832523;10.1726674;Allermöhe 2, Henriette-Herz-Ring, 21035 Hamburg
KK-06;Condor 4.;53.6089639;10.1199163;Farmsen 2, Berner Heerweg 189, 22159 Hamburg
KK-06;Concordia 3.;53.5756854;10.1371178;Jenfeld 2, Bekkamp 25, 22045 Hamburg
KK-06;Polonia 3.;53.5686451;10.0328479;Finkenau, Finkenau 38, 22081 Hamburg
KK-06;Farmsen 1.;53.6089639;10.1199163;Farmsen 1, Berner Heerweg 189, 22159 Hamburg
KK-06;Stapelfeld 2.;53.6087519;10.2204899;Am Drehbarg, Am Drehbarg 1, 22145 Stapelfeld
KK-06;Barsbüttel 3.;53.5724793;10.1620994;Barsbüttel 2, Soltausredder 21, 22885 Barsbüttel
KK-06;tus BERNE 3.;53.6278043;10.1261199;Berne, Berner Allee 64, 22159 Hamburg
KK-06;Willinghusen 2.;53.5620096;10.2081893;Willinghusen 1, Am Sportplatz, 22885 Barsbüttel
KK-06;Vorw. Wacker 4.;53.5480503;10.1176169;Öjendorfer Weg 2, Öjendorfer Weg 80, 22119 Hamburg
KK-06;SC FU 1.;53.5840987;10.0983119;Friedrichshöh 2, Walddörferstr. 330, 22047 Hamburg
KK-06;Lorbeer 3.;53.5350323;10.0444922;Marckmannstraße, Marckmannstr. 125, 20539 Hamburg
KK-06;Billstedt-Horn 4.;53.5406409;10.1352281;Billstedt 1 Stadion, Möllner Landstr. 197, 22117 Hamburg
KK-07;SV Alter Teichweg 1.;53.5818962;10.0593058;Vogesenstr., Vogesenstr., 22049 Hamburg
KK-07;Tonndorf-Lohe 1.;53.5812659;10.1479779;Grunewaldstr.61/I, Grunewaldstraße 61, 22149 Hamburg
KK-07;HafenCity 3.;53.5520761;10.0276471;Kesslau-Platz, Anckelmannsplatz 2 F, 20537 Hamburg
KK-07;SV Barmbek 1.;53.6032513;10.0449497;Meister-Francke-Strasse, Meister-Francke-Str., 22309 Hamburg
KK-07;MSV Hamburg 4.;53.533191;10.1490372;Kandinskyallee 2, Kandinskyallee 29, 22115 Hamburg
KK-07;BU 5.;53.5992745;10.0491308;Langenfort 1, Langenfort 70, 22307 Hamburg
KK-07;Farmsen 2.;53.6089639;10.1199163;Farmsen 1, Berner Heerweg 189, 22159 Hamburg
KK-07;Bramfeld 5.;53.6110183;10.0803151;Uwe Herzberg Sportanlage, Ellernreihe 88, 22179 Hamburg
KK-07;DJK Hamburg 1.;53.5818962;10.0593058;Vogesenstr., Vogesenstr., 22049 Hamburg
KK-07;tus BERNE 2.;53.6278043;10.1261199;Berne, Berner Allee 64, 22159 Hamburg
KK-07;Hellbrook 1.;53.6146063;10.0564247;Gropiusring 1 (Rasen), Gropiusring 43, 22309 Hamburg
KK-07;Croatia 2.;53.5686451;10.0328479;Finkenau, Finkenau 38, 22081 Hamburg
KK-07;FC Gregs 1.;53.6146063;10.0564247;Gropiusring 1 (Rasen), Gropiusring 43, 22309 Hamburg
KK-08;Nordlichter im NSV 1.;53.7181303;9.993976;Schulzentrum-Nord, Moorbekstr. 25, 22846 Norderstedt
KK-08;HSV V;53.6916861;9.99918;Paul-Hauenschild-Plätze 4, Ulzburger Str. 94, 22850 Norderstedt
KK-08;Polonia 2.;53.5686451;10.0328479;Finkenau, Finkenau 38, 22081 Hamburg
KK-08;Paloma 4.;53.5832081;10.0401027;Brucknerstrasse, Brucknerstraße 24, 22083 Hamburg
KK-08;VfL 93 2.;53.592041;10.0149443;Borgweg, Südring, 22303 Hamburg
KK-08;Glashütte 2.;53.6827893;10.0411073;Glashütte 2, Poppenbütteler Str. 272, 22851 Norderstedt
KK-08;Alstertal-Langenhorn 2.;53.6330712;10.0170563;Hermann Löns-Pl., Schlehdornweg, 22335 Hamburg
KK-08;Hamburg Hurricanes 2.;53.59946088369256;10.011468419348367;Neue Welt 2/Unten, Jahnring (Ecke Hindenburgstr.) 24, 22297 HAMBURG
KK-08;DUWO 08 1.;53.691107;10.1380289;Ohlstedt 2, Sthamerstr. 30, 22397 Hamburg
KK-08;Poppenbüttel 2.;53.6631728;10.0744635;Bültenkoppel 1, Bültenkoppel 1, 22399 Hamburg
KK-08;UH-Adler 3.;53.5775738;10.0268952;Beethovenstraße, Beethovenstr. 51, 22083 Hamburg
KK-08;Bergstedt 2.;53.6713212;10.1339477;Bergstedt, Teekoppel 9, 22395 Hamburg
KK-08;DSC Hanseat 3.;53.5818962;10.0593058;Vogesenstr., Vogesenstr., 22049 Hamburg
KK-08;Hellbrook 2.;53.6146063;10.0564247;Gropiusring 2, Gropiusring 43, 22309 Hamburg
KK-08;Hummelsbüttel 1.;53.6460106;10.0396931;Hummelsbüttel, Hummelsbüttler Hauptstr. 102, 22339 Hamburg
KK-09;VfL 93 3.;53.5871135;10.0273088;Meerweinstrasse, Meerweinstr. 28, 22303 Hamburg
KK-09;Tangstedt 2.;53.6798132;9.8614359;Tangstedt 2, Hasloher Weg 5, 25499 Tangstedt
KK-09;Victoria 5.;53.5876352;9.9684927;Stadion Hoheluft, Lokstedter Steindamm 87, 22529 Hamburg
KK-09;Alstertal-Langenhorn 3.;53.6638446;10.0087181;Beckermannweg Platz 2, Beckermannweg 23, 22419 Hamburg
KK-09;Friedrichsgabe 1.;53.7239662;9.9873203;Lawetzstraße, Lawaetzstr. 8, 22844 Norderstedt
KK-09;FC Guine-Bissau;53.5277548;10.1558479;Rahewinkel, Beim Saaren 1, 22115 Hamburg
KK-09;Rugenbergen 3.;53.6614224;9.8999507;Sportzentrum Bönningstedt 2, Ellerbeker Str. 29-31, 25474 Bönningstedt
KK-09;Teutonia 10 3.;53.557057;9.9451754;Max-Brauer-Allee 2, Max-Brauer-Allee 121, 22765 Hamburg
KK-09;Niendorf 5.;53.6435073;9.9614048;Sachsenweg 2 (Kunstrasen), Sachsenweg 78, 22455 Hamburg
KK-09;Nordlichter im NSV 2.;53.7181303;9.993976;Schulzentrum-Nord, Moorbekstr. 25, 22846 Norderstedt
KK-09;Germania 3.;53.6451412;9.920934;Königskinderweg 1, Königskinderweg 67 A, 22457 Hamburg
KK-09;Eintracht Lokstedt 3.;53.5961183;9.9542761;Sportpark Eintracht Lokstedt, Döhrntwiete 2 a, 22529 Hamburg
KK-09;SV Groß Borstel 3.;53.6047273;9.9772162;Brödermannsweg, Brödermannsweg 31, 22453 Hamburg
KK-10;Eintracht Lokstedt 4.;53.5961183;9.9542761;Sportpark Eintracht Lokstedt, Döhrntwiete 2 a, 22529 Hamburg
KK-10;HFC Falke 2.;53.5903578;9.9435342;Sportpark Eimsbüttel Platz 3, Hagenbeckstraße 124, 22527 Hamburg
KK-10;Rellinger FC 1.;53.656704;9.8375685;Gemeindesportpl.Rell., Ellerbeker Weg, 25462 Rellingen
KK-10;SV Groß Borstel 2.;53.6047273;9.9772162;Brödermannsweg, Brödermannsweg 31, 22453 Hamburg
KK-10;Teutonia 10 1.;53.557057;9.9451754;Max-Brauer-Allee 2, Max-Brauer-Allee 121, 22765 Hamburg
KK-10;DUWO 08 2.;53.691107;10.1380289;Ohlstedt 2, Sthamerstr. 30, 22397 Hamburg
KK-10;TuS Osdorf 2.;53.5761791;9.8511402;Blomkamp, Blomkamp 32, 22549 Hamburg
KK-10;Lohkamp 2.;53.6037771;9.9003527;Furtweg 2, Furtweg 51, 22523 Hamburg
KK-10;SV Eidelstedt 4.;53.6037771;9.9003527;Furtweg 2, Furtweg 51, 22523 Hamburg
KK-10;Sternschanze 4.;53.5644706;9.9662201;Sternschanze, Sternschanze 9, 20357 Hamburg
KK-10;GW Eimsbüttel 3.;53.5842503;9.9514846;Tiefenstaaken, Julius-Vosseler-Str. 195, 22527 Hamburg
KK-10;West-Eimsbüttel 2.;53.6002278;9.9323094;Vogt-Kölln-Straße Platz 2, Vogt-Kölln-Str. 50, 22527 Hamburg
KK-10;Groß Flottbek 2.;53.572185;9.8819507;Wilhelmshöh 1, Notkestr. 89, 22607 Hamburg
KK-11;Groß Flottbek 3.;53.572185;9.8819507;Wilhelmshöh 1, Notkestr. 89, 22607 Hamburg
KK-11;Sternschanze 5.;53.5644706;9.9662201;Sternschanze, Sternschanze 9, 20357 Hamburg
KK-11;Alsterbrüder 4.;53.5728026;9.9723648;Walter-Wächter-Platz, Gustav-Falke-Str. 19, 20144 Hamburg
KK-11;HEBC 4.;53.5744581;9.9520248;Reinmüller-Platz 2, Tornquiststr., 20259 Hamburg
KK-11;Inter Eidelstedt 1.;53.5903578;9.9435342;Sportpark Eimsbüttel Platz 3, Hagenbeckstraße 124, 22527 Hamburg
KK-11;GW Eimsbüttel 4.;53.5842503;9.9514846;Tiefenstaaken, Julius-Vosseler-Str. 195, 22527 Hamburg
KK-11;Stellingen 1.;53.6002278;9.9323094;Vogt-Kölln-Straße Platz 1, Vogt-Kölln-Str. 50, 22527 Hamburg
KK-11;Teutonia 10 2.;53.557057;9.9451754;Max-Brauer-Allee 2, Max-Brauer-Allee 121, 22765 Hamburg
KK-11;Hammonia 4.;53.5644706;9.9662201;Sternschanze, Sternschanze 9, 20357 Hamburg
KK-11;Lohkamp 3.;53.6037771;9.9003527;Furtweg 1, Furtweg 51, 22523 Hamburg
KK-11;Union 03 2.;53.5657996;9.9420583;Jahnplatz 3, Memellandallee, 22769 Hamburg
KK-11;Hansa 11 3.;53.554357;9.9709719;Feldstraße 1, Heiligengeistfeld, 20359 Hamburg
KK-12;Rissen 2.;53.5843979;9.7768738;Marschweg 1, Marschweg 85, 22559 Hamburg
KK-12;VfL Pinneberg 2.;53.6410586;9.7867827;Kampfbahn B, An der Raa, 25421 Pinneberg
KK-12;FC Hamburger Berg 1.;53.5652929;9.9730691;Sternschanzen-Park, Sternschanze 4, 20357 Hamburg
KK-12;Wedel 2.;53.5718105;9.6989955;Elbestadion (Rasen), Schulauer Str., 22880 Wedel
KK-12;Kickers Halstenbek 1.;53.6170007;9.8354591;Schule Süd, Birkenallee, 25469 Halstenbek
KK-12;Cosmos Wedel 2.;53.5718105;9.6989955;Schulauer Str. 2, Schulauer Str., 22880 Wedel
KK-12;TuS Osdorf 3.;53.5761791;9.8511402;Blomkamp, Blomkamp 32, 22549 Hamburg
KK-12;SC Pinneberg 1.;53.6410586;9.7867827;An Der Raa 1, An der Raa 13, 25421 Pinneberg
KK-12;Komet Blankenese 1.;53.5674321;9.8234211;Dockenhuden 2, Simrockstr. 62 A, 22589 Hamburg
KK-12;Osdorfer Born 1.;53.5907016;9.8466617;Kroonhorst 3, Kroonhorst 117-119, 22549 Hamburg
KK-12;Altona 93 4.;53.5592059;9.9003912;Baurstraße Platz 1, Baurstr. 9, 22605 Hamburg
KK-12;BLS Hamburg 01 1.;53.5842503;9.9514846;Tiefenstaaken, Julius-Vosseler-Str. 195, 22527 Hamburg
KK-12;Waldenau 1.;53.6165673;9.7962298;Stipper-Barthel-Platz, Jappopweg 53, 25421 Pinneberg
KK-12;Union 03 3.;53.5657996;9.9420583;Jahnplatz 3, Memellandallee, 22769 Hamburg
KL-01;Moorrege 1.;53.6638673;9.6629051;Himmelsbarg 1, Kirchenstr. 28, 25436 Moorrege
KL-01;Wedel 1.;53.5718105;9.6989955;Elbestadion (Rasen), Schulauer Str., 22880 Wedel
KL-01;Sparrieshoop 1.;53.7928448;9.6883628;Helmut-Gehn-Stadion, Am Rosengarten 4, 25365 Klein Offenseth-Sparrieshoop
KL-01;Borstel 1.;53.6900722;9.813428;Borstel 1 (Rasen), Quickborner Str. 99, 25494 Borstel-Hohenraden
KL-01;Heidgraben 2.;53.7009318;9.6778694;Udo-Tesch-Sportpark 2, Uetersener Str. 1 A, 25436 Heidgraben
KL-01;Appen 1.;53.6634509;9.7296629;Appen 1, Almtweg, 25482 Appen
KL-01;Union Tornesch 3.;53.7028931;9.7340027;Großer Moorweg Platz 3, Großer Moorweg 30, 25436 Tornesch
KL-01;Heist 1.;53.6575164;9.6684612;Hamburger Strasse (Rasen), Hamburger Str., 25492 Heist
KL-01;Rantzau 2.;53.7894806;9.7549629;Düsterlohe 2, Düsterlohe 6, 25355 Barmstedt
KL-01;Rissen 1.;53.5843979;9.7768738;Marschweg 1, Marschweg 85, 22559 Hamburg
KL-01;Cosmos Wedel 1.;53.5718105;9.6989955;Schulauer Str. 2, Schulauer Str., 22880 Wedel
KL-01;Roland Wedel 1.;53.5718105;9.6989955;Elbestadion (Rasen), Schulauer Str., 22880 Wedel
KL-01;Hörnerkirchen 1.;53.8506235;9.7073903;Hörnerkirchen, Schulweg 3, 25364 Brande-Hörnerkirchen
KL-01;Tangstedt 1.;53.6798132;9.8614359;Tangstedt 2, Hasloher Weg 5, 25499 Tangstedt
KL-01;Lieth 2.;53.7287735;9.655701;Klaus-Waskow-Platz, Am Butterberg 10, 25336 Klein Nordende
KL-01;Holm 1.;53.61951427669735;9.682377542922303;Sportzentrum Holm (Stadion), Im Sande / Meierhof, 25488 HOLM
KL-02;FSV Harburg-Rönneburg 1.;53.444837;9.9986931;Wilstorfer Höh, Brandesstr. 12, 21079 Hamburg
KL-02;Este 06/​70 1.;53.5294963;9.7724108;Cranz (Rasen), Estebogen, 21129 Hamburg
KL-02;Viktoria Harburg 1.;53.4531094;9.9807218;Baererstraße, Baererstr. 45 A, 21073 Hamburg
KL-02;Kosova 2.;53.5244421;10.0190648;Slomanstr., Slomanstr., 20539 Hamburg
KL-02;Buxtehude 1.;53.4684784;9.6857003;Jahnstadion 2, An der Rennbahn 1, 21614 Buxtehude
KL-02;St. Pauli VII;53.554357;9.9709719;Feldstraße 2, Heiligengeistfeld, 20359 Hamburg
KL-02;Harburger TB 2.;53.4574254;9.9353381;Jahnhöhe 1, Vahrenwinkelweg 28, 21075 Hamburg
KL-02;Bostelbek 1.;53.464756;9.9659033;Alter Postweg, Alter Postweg 30, 21075 Hamburg
KL-02;Harburger SC 2.;53.4434773;9.9710864;Rabenstein, Hölscherweg 11, 21077 Hamburg
KL-02;Altenwerder 1.;53.4711365;9.8844575;Jägerhof 1 a (Nord), Talweg 1, 21149 Hamburg
KL-02;RW Wilhelmsburg 1.;53.5064285;9.9902937;Rotenhäuser Damm, Rotenhäuser Damm 94, 21107 Hamburg
KL-02;Hellas United 1.;53.4711365;9.8844575;Jägerhof 1 b (Süd), Talweg 1, 21149 Hamburg
KL-02;Süderelbe 3.;53.4656685;9.8396764;Kiesbarg, Kiesbarg, 21149 Hamburg
KL-02;FC Veddel United 1.;53.5244421;10.0190648;Slomanstr., Slomanstr., 20539 Hamburg
KL-02;SV Wilhelmsburg 1.;53.4868669;10.0253387;Karl-Arnold-Ring 1, Karl-Arnold-Ring 15, 21109 Hamburg
KL-03;Voran Ohe 2.;53.5472043;10.2731939;Stadion Ohe 1, Amselstieg 26, 21465 Reinbek
KL-03;Reinbek 1.;53.516839105056064;10.243367720142784;Reinbek 2, Theodor-Storm-Str/Mühlenredder, 21465 REINBEK
KL-03;SC Wentorf 2.;53.4867361;10.2545209;Am Sportplatz 2 (Kunstrasen), Am Sportplatz 10, 21465 Wentorf bei Hamburg
KL-03;SC V. M. 2.;53.4011135;10.1755276;Zollenspieker, Auf dem Sülzbrack 2, 21037 Hamburg
KL-03;ASV Bergedorf 85 1.;53.4959511;10.1899056;Sander Tannen 3, Krusestr. 5, 21033 Hamburg
KL-03;Lohbrügge 2.;53.5031888;10.205887;Binnenfeldredder 2, Binnenfeldredder 9, 21031 Hamburg
KL-03;Altengamme 2.;53.4304373;10.2744418;Gammer Weg 2, Gammer Weg 49 A, 21039 Hamburg
KL-03;Curslack-Neuengamme 2.;53.4483814;10.2196725;Curslack, Gramkowweg 5, 21039 Hamburg
KL-03;Escheburg 2.;53.4682706;10.3098704;Escheburg, Stubbenberg 17 a, 21039 Escheburg
KL-03;Börnsen 2.;53.4751435;10.2883862;Börnsen 1 (Rasen), Hamfelderedder, 21039 Börnsen
KL-03;Dassendorf 2.;53.4922331;10.3543084;Dassendorf 1, Wendelweg, 21521 Dassendorf
KL-03;FSV Geesthacht 1.;53.422714;10.4241199;Berlinerstrasse 2, Berliner Str. 62, 21502 Geesthacht
KL-03;Lauenburg 1.;53.3740838;10.5447572;Lauenburg 2, Glüsinger Weg, 21481 Lauenburg
KL-03;Schwarzenbek 2.;53.4952549;10.4805676;Schwarzenbek 2, Schützenallee, 21493 Schwarzenbek
KL-04;Billstedt-Horn 1.;53.5406409;10.1352281;Billstedt 1 Stadion, Möllner Landstr. 197, 22117 Hamburg
KL-04;Barsbüttel 2.;53.5724793;10.1620994;Barsbüttel 2, Soltausredder 21, 22885 Barsbüttel
KL-04;Walddörfer 2.;53.6550498;10.175587;Stad. Allhorn, Ahrensburger Weg 28, 22359 Hamburg
KL-04;Willinghusen 1.;53.5620096;10.2081893;Willinghusen 1, Am Sportplatz, 22885 Barsbüttel
KL-04;Condor 3.;53.615629;10.1234504;Berner Heerweg 190/I, Berner Heerweg 190, 22159 Hamburg
KL-04;Stapelfeld 1.;53.6087519;10.2204899;Am Drehbarg, Am Drehbarg 1, 22145 Stapelfeld
KL-04;Ahrensburg 2.;53.6741336;10.2335667;Stormarnplatz 2, Klaus-Groth-Straße, 22926 Ahrensburg
KL-04;Meiendorf 2.;53.6293398;10.1629612;Deepenhorn 1, Deepenhorn 5, 22145 Hamburg
KL-04;Wandsetal 1.;53.5815912;10.0986705;Sportpark Hinschenfelde, Walddörferstr. 247, 22047 Hamburg
KL-04;Rahlstedt 2.;53.5996375;10.1490291;Scharbeutzerstr. 3, Scharbeutzer Str. 23, 22147 Hamburg
KL-04;ASV Hamburg 2.;53.5571846;10.0711906;Snitgerreihe, Snitgerreihe, 22111 Hamburg
KL-04;Urania 1.;53.589355;10.0612123;Schützenhof, Habichtstr. 14, 22305 Hamburg
KL-04;BU 4.;53.5930522;10.0555913;Dieselstraße, Dieselstr. 6, 22307 Hamburg
KL-04;Bramfeld 2.;53.6110183;10.0803151;Uwe Herzberg Sportanlage, Ellernreihe 88, 22179 Hamburg
KL-05;Rahlstedt 3.;53.5996375;10.1490291;Scharbeutzerstr. 3, Scharbeutzer Str. 23, 22147 Hamburg
KL-05;Eilbek 3.;53.5703934;10.0498722;Fichtestrasse, Fichtestraße 39, 22089 Hamburg
KL-05;Hamm United 2.;53.5571846;10.0711906;Snitgerreihe, Snitgerreihe, 22111 Hamburg
KL-05;BU 3.;53.5992745;10.0491308;Langenfort 2, Langenfort 70, 22307 Hamburg
KL-05;Wellingsbüttel 2.;53.638619161316214;10.103206435241386;Am Pfeilshof, Am Pfeilshof /Zuf. Waldingstr., 22391 HAMBURG
KL-05;Wandsetal 2.;53.5840987;10.0983119;Friedrichshöh 2, Walddörferstr. 330, 22047 Hamburg
KL-05;FC Winterhude 1.;53.5871135;10.0273088;Meerweinstrasse, Meerweinstr. 28, 22303 Hamburg
KL-05;Paloma 3.;53.5832081;10.0401027;Brucknerstrasse, Brucknerstraße 24, 22083 Hamburg
KL-05;Billstedt-Horn 2.;53.5398147;10.1055898;Billstedt 3, Möllner Landstr. 197, 22117 Hamburg
KL-05;Sasel 3.;53.6549203;10.1114312;Parkweg, Saseler Parkweg 14, 22393 Hamburg
KL-05;Sperber 2.;53.5871135;10.0273088;Meerweinstrasse, Meerweinstr. 28, 22303 Hamburg
KL-05;TuS Hamburg 1.;53.5571846;10.0711906;Snitgerreihe, Snitgerreihe, 22111 Hamburg
KL-05;Polonia 1.;53.5686451;10.0328479;Finkenau, Finkenau 38, 22081 Hamburg
